Count;ComponentName;RefDes;PatternName;Value
;;;;
2;90663-1101;XPU1;90663-1101;SCM-10
25;C_SMD_0805;C1;C_SMD_0805;0.1mkF-10% 50V X7R
10;KP-2012XXX;VD6;LED_0805;GREEN
10;R_SMD_0805;R21;R_SMD_0805;560R-5%
6;SMAJXXCA;VD16;SMA;SMAJ5CA
1;SS24;VD1;SMA;SS26
25;R_SMD_0805;R5;R_SMD_0805;10R-5%
5;MMBT3904;VT1;MMBT3904;not mount
2;C_SMD_0805;C29;C_SMD_0805;270pF-10%  16V-X7R-
1;;BRD;pcb;temp_board_test-v1.0
